VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000110028,臺中市,大甲區,福德里,Fude Vil.,B,66000,B11,66000110,167,382,1310,354,1442,臺中市大甲區福德里,296,190298,643,490,327,751,-0.09154,536.86,83.51,0.1198
66000120028,臺中市,清水區,下湳里,Xianan Vil.,B,66000,B12,66000120,86,975,3327,967,3763,臺中市清水區下湳里,920,646764,703,514,320,837,-0.115865,655.13,93.19,0.1048
66000120029,臺中市,清水區,東山里,Dongshan Vil.,B,66000,B12,66000120,26,442,1400,427,1535,臺中市清水區東山里,329,200958,611,487,327,745,-0.087948,498.26,81.57,0.0819
66000120030,臺中市,清水區,楊厝里,Yangcuo Vil.,B,66000,B12,66000120,26,425,1362,374,1419,臺中市清水區楊厝里,288,164813,572,481,288,692,-0.040169,441.74,77.19,0.0913
66000120031,臺中市,清水區,海風里,Haifeng Vil.,B,66000,B12,66000120,31,540,1630,451,1609,臺中市清水區海風里,394,257916,655,511,329,773,0.013052,581.79,88.88,0.0798
66000120032,臺中市,清水區,吳厝里,Wucuo Vil.,B,66000,B12,66000120,68,575,1763,529,1788,臺中市清水區吳厝里,384,229607,598,507,336,722,-0.013982,390.19,65.26,0.1319
66000130001,臺中市,沙鹿區,居仁里,Juren Vil.,B,66000,B13,66000130,67,564,1671,483,1822,臺中市沙鹿區居仁里,449,506142,1127,592,366,1104,-0.082876,2815.42,249.76,0.1178
66000130002,臺中市,沙鹿區,洛泉里,Luoquan Vil.,B,66000,B13,66000130,53,769,2600,785,2916,臺中市沙鹿區洛泉里,668,648177,970,582,345,1074,-0.108368,1429.84,147.36,0.0697
66000130003,臺中市,沙鹿區,沙鹿里,Shalu Vil.,B,66000,B13,66000130,28,355,1221,371,1460,臺中市沙鹿區沙鹿里,355,503028,1417,680,363,1472,-0.163699,2433.08,171.71,0.0762
66000130004,臺中市,沙鹿區,美仁里,Meiren Vil.,B,66000,B13,66000130,18,198,638,193,771,臺中市沙鹿區美仁里,134,239651,1788,574,297,1065,-0.172503,9575.84,535.43,0.1296
66000130005,臺中市,沙鹿區,興仁里,Xingren Vil.,B,66000,B13,66000130,78,982,3202,856,3177,臺中市沙鹿區興仁里,806,606233,752,534,332,876,0.007869,770.52,102.44,0.0796
66000130006,臺中市,沙鹿區,斗抵里,Doudi Vil.,B,66000,B13,66000130,110,1634,5376,1396,5405,臺中市沙鹿區斗抵里,1409,1162722,825,605,357,1044,-0.005365,887.63,107.56,0.0698
66000130007,臺中市,沙鹿區,鹿峰里,Lufeng Vil.,B,66000,B13,66000130,269,2014,6391,1565,5587,臺中市沙鹿區鹿峰里,1614,1373885,851,615,367,1034,0.143905,880.51,103.44,0.1236
66000130008,臺中市,沙鹿區,鹿寮里,Luliao Vil.,B,66000,B13,66000130,336,2602,8638,2027,7509,臺中市沙鹿區鹿寮里,2154,1788555,830,597,348,1020,0.150353,851.58,102.56,0.1119
66000130009,臺中市,沙鹿區,竹林里,Zhulin Vil.,B,66000,B13,66000130,301,2839,9438,2402,8855,臺中市沙鹿區竹林里,2415,2024374,838,608,364,1048,0.065839,802.68,95.76,0.0908
66000130010,臺中市,沙鹿區,犁分里,Lifen Vil.,B,66000,B13,66000130,60,428,1412,310,1160,臺中市沙鹿區犁分里,338,238004,704,591,322,882,0.217241,574.53,81.59,0.1603
66000130011,臺中市,沙鹿區,北勢里,Beishi Vil.,B,66000,B13,66000130,43,2021,6244,1454,5310,臺中市沙鹿區北勢里,1465,1291937,882,615,369,1095,0.175895,927.22,105.14,0.0729
66000130012,臺中市,沙鹿區,福興里,Fuxing Vil.,B,66000,B13,66000130,21,1462,4584,1043,3700,臺中市沙鹿區福興里,1135,961755,847,635,377,1049,0.238919,908.88,107.26,0.1007
